Start Date	End Date	Duration	Clan Id	Clan Name	Clan Symbol	Trophies	Update Date	Member Id	Pearl
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_57499e6b-1e35-11e4-ad8e-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_b59342ef-2013-11e4-ad8e-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_c267b9f4-3931-11e4-8fdc-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_63272c80-3224-11e4-90c0-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_69a9aeab-29c0-11e4-90c0-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_931f15d9-219e-11e4-ad8e-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_e221a9c8-22db-11e4-ad8e-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_3621fd59-2dcf-11e4-90c0-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_eb25789a-3140-11e4-90c0-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_00045848	صعاليك الصحراء	15	38970	2014-12-05 15:59:55.0	31_78ea3254-1e42-11e4-ad8e-22000a4a0686	2500
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_d366583a-1e86-11e4-ad8e-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_7e35bfa6-5836-11e4-8574-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_0a60e020-38e9-11e4-8fdc-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_f9591d0c-19c9-11e4-b281-22000ad2b690	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_8535df6d-3d23-11e4-8fdc-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_2a90a46e-19b5-11e4-b281-22000ad2b690	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_8c4f29d7-1bb6-11e4-ad8e-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_5b0f81aa-2b97-11e4-90c0-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_6cbd683f-2709-11e4-90c0-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_657	أمراء الخليج	13	38123	2014-12-05 16:00:05.0	31_ce70d785-6982-11e4-ad9b-22000a4a0686	1250
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_981b1664-293c-11e4-90c0-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_fdd089cb-1ef5-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_b72837aa-1ce8-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_f3fb0e76-1c8d-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_e94e9f64-35f5-11e4-90c0-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_8a201910-2500-11e4-90c0-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_e5409480-210f-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_ea05d1c7-1cbd-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_07a00d35-2082-11e4-ad8e-22000a4a0686	750
2014-11-21-16-00-00-EST	2014-12-05-16-00-00-EST	20160	31_4148	الصمايل	16	31691	2014-12-05 16:00:09.0	31_c80ad1a2-1bc2-11e4-ad8e-22000a4a0686	750